"State","CountyFIPS","County","2001","2006","2011","2016","2021"
"Alabama","01001","Autauga",50.90,50.40,48.90,49.50,49.70
"Alabama","01003","Baldwin",33.00,27.70,27.10,31.50,32.20
"Alabama","01005","Barbour",56.80,57.30,56.40,58.50,56.60
"Alabama","01007","Bibb",74.90,71.90,69.40,69.10,70.30
"Alabama","01009","Blount",50.60,49.50,49.40,53.90,55.00
"Alabama","01011","Bullock",54.80,56.30,55.10,55.70,54.60
"Alabama","01013","Butler",63.60,65.50,65.00,63.30,62.00
"Alabama","01015","Calhoun",60.60,59.80,58.70,60.00,59.60
"Alabama","01017","Chambers",61.80,61.60,58.50,66.00,63.20
"Alabama","01019","Cherokee",51.20,51.10,51.50,51.40,52.10
"Alabama","01021","Chilton",60.40,60.10,58.30,58.60,58.60
"Alabama","01023","Choctaw",69.60,66.00,62.50,60.70,59.90
"Alabama","01025","Clarke",69.10,62.90,57.90,59.70,61.20
"Alabama","01027","Clay",77.20,76.70,74.30,76.10,75.10
"Alabama","01029","Cleburne",75.10,73.30,73.30,80.40,77.90
"Alabama","01031","Coffee",51.60,51.70,49.90,46.80,46.00
"Alabama","01033","Colbert",45.10,44.40,43.50,47.70,48.20
"Alabama","01035","Conecuh",67.50,64.00,63.50,58.90,60.10
"Alabama","01037","Coosa",77.30,75.60,74.00,78.70,76.50
"Alabama","01039","Covington",59.20,59.10,57.30,54.90,56.20
"Alabama","01041","Crenshaw",58.20,60.40,58.10,57.60,57.20
"Alabama","01043","Cullman",39.70,39.70,39.10,46.70,46.90
"Alabama","01045","Dale",50.30,50.40,49.90,46.90,46.80
"Alabama","01047","Dallas",42.30,43.40,41.10,39.00,39.50
"Alabama","01049","DeKalb",45.90,45.20,44.00,43.50,44.30
"Alabama","01051","Elmore",54.10,53.50,52.70,52.80,52.00
"Alabama","01053","Escambia",51.70,46.10,47.30,45.40,48.60
"Alabama","01055","Etowah",49.40,49.00,48.40,50.10,50.10
"Alabama","01057","Fayette",70.50,67.20,62.20,64.10,66.20
"Alabama","01059","Franklin",54.30,54.30,52.10,57.60,59.50
"Alabama","01061","Geneva",32.30,31.80,33.40,29.10,30.10
"Alabama","01063","Greene",47.00,44.00,41.60,36.70,36.00
"Alabama","01065","Hale",46.70,44.40,42.00,39.30,40.00
"Alabama","01067","Henry",45.00,45.80,44.70,46.70,46.70
"Alabama","01069","Houston",25.70,26.40,27.40,21.60,20.00
"Alabama","01071","Jackson",59.10,58.30,58.40,58.10,59.00
"Alabama","01073","Jefferson",57.50,54.70,53.50,56.90,56.60
"Alabama","01075","Lamar",63.70,59.90,54.70,55.40,58.00
"Alabama","01077","Lauderdale",34.40,34.30,33.70,35.70,35.40
"Alabama","01079","Lawrence",39.70,39.90,39.20,38.40,38.20
"Alabama","01081","Lee",58.40,57.50,54.20,58.90,56.70
"Alabama","01083","Limestone",24.40,24.30,24.00,22.70,22.00
"Alabama","01085","Lowndes",40.50,42.10,40.70,45.10,46.30
"Alabama","01087","Macon",52.20,53.40,50.80,52.20,52.50
"Alabama","01089","Madison",29.30,29.00,29.00,29.80,29.50
"Alabama","01091","Marengo",51.90,50.20,46.20,45.60,45.50
"Alabama","01093","Marion",63.10,61.30,57.50,62.50,64.50
"Alabama","01095","Marshall",40.90,40.40,40.10,40.00,40.30
"Alabama","01097","Mobile",34.60,30.90,30.60,35.00,34.10
"Alabama","01099","Monroe",61.90,58.60,56.30,55.20,55.60
"Alabama","01101","Montgomery",30.60,30.90,30.10,29.30,28.80
"Alabama","01103","Morgan",36.10,35.90,35.70,39.10,38.80
"Alabama","01105","Perry",57.00,55.80,54.20,54.20,53.90
"Alabama","01107","Pickens",60.70,57.10,53.40,53.70,53.10
"Alabama","01109","Pike",53.60,54.10,53.10,52.00,51.10
"Alabama","01111","Randolph",62.80,61.40,57.50,65.60,63.70
"Alabama","01113","Russell",52.00,51.80,51.40,58.00,56.50
"Alabama","01117","Shelby",60.80,58.30,55.90,58.80,58.80
"Alabama","01115","St. Clair",60.50,58.60,58.30,61.50,61.20
"Alabama","01119","Sumter",50.30,48.70,45.90,43.30,43.10
"Alabama","01121","Talladega",57.00,56.50,55.10,58.30,58.20
"Alabama","01123","Tallapoosa",67.40,66.60,63.20,70.10,68.70
"Alabama","01125","Tuscaloosa",65.00,62.40,59.20,60.10,61.10
"Alabama","01127","Walker",64.70,63.40,60.80,67.20,67.30
"Alabama","01129","Washington",62.80,60.00,55.70,47.90,46.30
"Alabama","01131","Wilcox",60.90,59.40,55.10,55.20,54.50
"Alabama","01133","Winston",67.10,66.30,64.00,70.40,71.20
"Arizona","04001","Apache",28.20,28.20,27.50,26.30,26.30
"Arizona","04003","Cochise",8.70,8.70,7.50,6.40,6.30
"Arizona","04005","Coconino",26.30,26.00,25.80,23.50,22.90
"Arizona","04007","Gila",38.50,37.80,37.50,35.00,34.50
"Arizona","04009","Graham",16.90,16.70,16.50,15.80,15.50
"Arizona","04011","Greenlee",44.50,44.40,41.50,38.70,37.70
"Arizona","04012","La Paz",0.20,0.20,0.20,0.10,0.00
"Arizona","04013","Maricopa",0.50,0.50,0.50,0.40,0.30
"Arizona","04015","Mohave",9.10,8.90,8.90,8.60,8.50
"Arizona","04017","Navajo",20.20,19.20,19.10,15.00,14.50
"Arizona","04019","Pima",2.30,2.10,2.10,1.70,1.70
"Arizona","04021","Pinal",1.00,0.90,0.90,0.80,0.70
"Arizona","04023","Santa Cruz",12.20,12.10,11.70,10.60,10.70
"Arizona","04025","Yavapai",19.60,19.40,19.20,16.00,15.80
"Arizona","04027","Yuma",0.00,0.00,0.00,0.00,0.00
